"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86879",349,1950,NaN,NaN,468,NaN,771,NaN,2634,2519
"86883",368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86885",13,NaN,24,NaN,NaN,NaN,NaN,878,NaN,NaN
"86886",NaN,247,NaN,5,78,57,18,NaN,21,142
"86887",NaN,NaN,NaN,148,NaN,NaN,NaN,NaN,NaN,NaN
"86889",NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86890",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1177,45,NaN
"86892",NaN,677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86893",NaN,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN
"86900",983,350,1705,NaN,1685,1762,1033,3498,1406,4403
"86901",NaN,371,NaN,NaN,102,NaN,NaN,95,56,NaN
"86902",NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86906",NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86909",282,622,1978,360,548,4910,391,709,1643,12660
"86910",362,353,2606,NaN,733,910,66,2072,200,6853
"86911",305,498,NaN,390,926,1361,631,118,315,NaN
"86913",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,961
"86914",NaN,NaN,NaN,NaN,NaN,NaN,NaN,768,NaN,NaN
"86915",47,NaN,NaN,NaN,196,NaN,NaN,NaN,NaN,NaN
"86916",NaN,NaN,163,NaN,NaN,NaN,NaN,162,NaN,NaN
"86918",NaN,150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86921",NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN
"86924",NaN,NaN,197,NaN,NaN,NaN,NaN,NaN,NaN,3697
"86931",NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86932",NaN,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN
"86937",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520
"86938",NaN,NaN,NaN,NaN,NaN,NaN,3,714,NaN,25
"86941",260,57,NaN,99,NaN,1159,361,NaN,NaN,1250
"86942",NaN,1289,NaN,NaN,152,NaN,NaN,1239,NaN,NaN
"86948",NaN,NaN,486,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86955",NaN,NaN,NaN,NaN,44,NaN,NaN,NaN,27,NaN
"86958",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,410,NaN
"86959",NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86963",NaN,NaN,NaN,NaN,150,NaN,NaN,NaN,2442,NaN
"86964",NaN,1397,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN
"86965",NaN,101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
